Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 19:10:17
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","Inj_LH2.W",
"Pa","kg/s",
2.41439e+06,2.70069,
2.42244e+06,2.70069,
2.43049e+06,2.70069,
2.43854e+06,2.70069,
2.44658e+06,2.70069,
2.45463e+06,2.70069,
2.46268e+06,2.70069,
2.47073e+06,2.70069,
2.47878e+06,2.70069,
2.48682e+06,2.70069,
2.49487e+06,2.70069,
2.50292e+06,2.70069,
2.51097e+06,2.70069,
2.51902e+06,2.70069,
2.52706e+06,2.70069,
2.53511e+06,2.70069,
2.54316e+06,2.70069,
2.55121e+06,2.70069,
2.55926e+06,2.70069,
2.5673e+06,2.70069,
2.57535e+06,2.70069,
2.5834e+06,2.70069,
2.59145e+06,2.70069,
2.5995e+06,2.70069,
2.60754e+06,2.70069,
2.61559e+06,2.70069,
2.62364e+06,2.70069,
2.63169e+06,2.70069,
2.63973e+06,2.70069,
2.64778e+06,2.70069,
2.65583e+06,2.70069,
2.66388e+06,2.70069,
2.67193e+06,2.70069,
2.67997e+06,2.70069,
2.68802e+06,2.70069,
2.69607e+06,2.70069,
2.70412e+06,2.70069,
2.71217e+06,2.70069,
2.72021e+06,2.70069,
2.72826e+06,2.70069,
2.73631e+06,2.70069,
2.74436e+06,2.70069,
2.75241e+06,2.70069,
2.76045e+06,2.70069,
2.7685e+06,2.70069,
2.77655e+06,2.70069,
2.7846e+06,2.70069,
2.79265e+06,2.70069,
2.80069e+06,2.70069,
2.80874e+06,2.70069,
2.81679e+06,2.70069,
2.82484e+06,2.70069,
2.83289e+06,2.70069,
2.84093e+06,2.70069,
2.84898e+06,2.70069,
2.85703e+06,2.70069,
2.86508e+06,2.70069,
2.87313e+06,2.70069,
2.88117e+06,2.70069,
2.88922e+06,2.70069,
2.89727e+06,2.70069,
2.90532e+06,2.70069,
2.91337e+06,2.70069,
2.92141e+06,2.70069,
2.92946e+06,2.70069,
2.93751e+06,2.70069,
2.94556e+06,2.70069,
2.95361e+06,2.70069,
2.96165e+06,2.70069,
2.9697e+06,2.70069,
2.97775e+06,2.70069,
2.9858e+06,2.70069,
2.99385e+06,2.70069,
3.00189e+06,2.70069,
3.00994e+06,2.70069,
3.01799e+06,2.70069,
3.02604e+06,2.70069,
3.03409e+06,2.70069,
3.04213e+06,2.70069,
3.05018e+06,2.70069,
3.05823e+06,2.70069,
3.06628e+06,2.70069,
3.07433e+06,2.70069,
3.08237e+06,2.70069,
3.09042e+06,2.70069,
3.09847e+06,2.70069,
3.10652e+06,2.70069,
3.11457e+06,2.70069,
3.12261e+06,2.70069,
