Experiment: exp1 Library: LPRES_EXAMPLES Component: RL10_offDesign Partition: performance1
User: diego Date: 2021:02:06 Time: 22:00:10
Platform: win64_gcc64v4_9 OS: Microsoft Windows [Version 10.0.19041]
Library dependency list: LPRES V1.3.7 LPRES_EXAMPLES V1.3.6 MATH V3.2.7 
Programme and Version: EcosimPro V6.0.0

"Regulator_1.dp","ControlPanel.c_star",
"Pa","m/s",
2.41439e+06,2304.84,
2.42244e+06,2304.85,
2.43049e+06,2304.86,
2.43854e+06,2304.86,
2.44658e+06,2304.87,
2.45463e+06,2304.88,
2.46268e+06,2304.89,
2.47073e+06,2304.9,
2.47878e+06,2304.91,
2.48682e+06,2304.91,
2.49487e+06,2304.92,
2.50292e+06,2304.93,
2.51097e+06,2304.94,
2.51902e+06,2304.94,
2.52706e+06,2304.95,
2.53511e+06,2304.96,
2.54316e+06,2304.96,
2.55121e+06,2304.97,
2.55926e+06,2304.98,
2.5673e+06,2304.98,
2.57535e+06,2304.99,
2.5834e+06,2304.99,
2.59145e+06,2305,
2.5995e+06,2305.01,
2.60754e+06,2305.01,
2.61559e+06,2305.02,
2.62364e+06,2305.02,
2.63169e+06,2305.03,
2.63973e+06,2305.03,
2.64778e+06,2305.04,
2.65583e+06,2305.04,
2.66388e+06,2305.05,
2.67193e+06,2305.05,
2.67997e+06,2305.06,
2.68802e+06,2305.06,
2.69607e+06,2305.07,
2.70412e+06,2305.07,
2.71217e+06,2305.08,
2.72021e+06,2305.08,
2.72826e+06,2305.08,
2.73631e+06,2305.09,
2.74436e+06,2305.09,
2.75241e+06,2305.09,
2.76045e+06,2305.1,
2.7685e+06,2305.1,
2.77655e+06,2305.11,
2.7846e+06,2305.11,
2.79265e+06,2305.11,
2.80069e+06,2305.11,
2.80874e+06,2305.12,
2.81679e+06,2305.12,
2.82484e+06,2305.12,
2.83289e+06,2305.13,
2.84093e+06,2305.13,
2.84898e+06,2305.13,
2.85703e+06,2305.13,
2.86508e+06,2305.14,
2.87313e+06,2305.14,
2.88117e+06,2305.14,
2.88922e+06,2305.14,
2.89727e+06,2305.14,
2.90532e+06,2305.15,
2.91337e+06,2305.15,
2.92141e+06,2305.15,
2.92946e+06,2305.15,
2.93751e+06,2305.15,
2.94556e+06,2305.15,
2.95361e+06,2305.16,
2.96165e+06,2305.16,
2.9697e+06,2305.16,
2.97775e+06,2305.16,
2.9858e+06,2305.16,
2.99385e+06,2305.16,
3.00189e+06,2305.16,
3.00994e+06,2305.16,
3.01799e+06,2305.16,
3.02604e+06,2305.17,
3.03409e+06,2305.17,
3.04213e+06,2305.17,
3.05018e+06,2305.17,
3.05823e+06,2305.17,
3.06628e+06,2305.17,
3.07433e+06,2305.17,
3.08237e+06,2305.17,
3.09042e+06,2305.17,
3.09847e+06,2305.17,
3.10652e+06,2305.17,
3.11457e+06,2305.17,
3.12261e+06,2305.17,
3.13066e+06,2305.17,
3.13871e+06,2305.17,
3.14676e+06,2305.17,
3.15481e+06,2305.17,
3.16285e+06,2305.17,
3.1709e+06,2305.17,
3.17895e+06,2305.17,
3.187e+06,2305.17,
3.19505e+06,2305.16,
3.20309e+06,2305.16,
3.21114e+06,2305.16,
3.21919e+06,2305.16,
3.22724e+06,2305.16,
3.23528e+06,2305.16,
3.24333e+06,2305.16,
3.25138e+06,2305.16,
3.25943e+06,2305.16,
3.26748e+06,2305.16,
3.27552e+06,2305.16,
3.28357e+06,2305.15,
3.29162e+06,2305.15,
3.29967e+06,2305.15,
3.30772e+06,2305.15,
3.31576e+06,2305.15,
3.32381e+06,2305.15,
3.33186e+06,2305.15,
3.33991e+06,2305.15,
3.34796e+06,2305.15,
3.356e+06,2305.14,
3.36405e+06,2305.14,
3.3721e+06,2305.14,
3.38015e+06,2305.14,
3.3882e+06,2305.14,
3.39624e+06,2305.14,
3.40429e+06,2305.14,
3.41234e+06,2305.14,
3.42039e+06,2305.13,
3.42844e+06,2305.13,
3.43648e+06,2305.13,
3.44453e+06,2305.13,
3.45258e+06,2305.13,
3.46063e+06,2305.13,
3.46868e+06,2305.13,
3.47672e+06,2305.12,
3.48477e+06,2305.12,
3.49282e+06,2305.12,
3.50087e+06,2305.12,
3.50892e+06,2305.12,
3.51696e+06,2305.12,
3.52501e+06,2305.12,
3.53306e+06,2305.11,
3.54111e+06,2305.11,
3.54916e+06,2305.11,
3.5572e+06,2305.11,
3.56525e+06,2305.11,
3.5733e+06,2305.11,
3.58135e+06,2305.1,
3.5894e+06,2305.1,
3.59744e+06,2305.1,
3.60549e+06,2305.1,
3.61354e+06,2305.1,
3.62159e+06,2305.1,
3.62964e+06,2305.09,
3.63768e+06,2305.09,
3.64573e+06,2305.09,
3.65378e+06,2305.09,
3.66183e+06,2305.09,
3.66988e+06,2305.09,
3.67792e+06,2305.08,
3.68597e+06,2305.08,
3.69402e+06,2305.08,
3.70207e+06,2305.08,
3.71012e+06,2305.08,
3.71816e+06,2305.07,
3.72621e+06,2305.07,
3.73426e+06,2305.07,
3.74231e+06,2305.07,
3.75036e+06,2305.07,
3.7584e+06,2305.07,
3.76645e+06,2305.06,
3.7745e+06,2305.06,
3.78255e+06,2305.06,
3.7906e+06,2305.06,
3.79864e+06,2305.06,
3.80669e+06,2305.05,
3.81474e+06,2305.05,
